328834.9923	232744.1875	335484.0997	234593.3742	6901.4578
325476.1660	229593.7219	328834.9923	232744.1875	4605.1219
318964.1564	226511.7436	325476.1660	229593.7219	7204.5027
351592.7567	233908.4902	356459.6281	232538.7223	5055.9571
343504.1543	234798.8395	351592.7567	233908.4902	8137.4572
335484.0997	234593.3742	343504.1543	234798.8395	8022.6861
166401.8812	122806.5385	173622.5257	121332.6252	7369.5405
160811.7053	122573.8154	166401.8812	122806.5385	5595.0181
155376.8135	124047.7287	160811.7053	122573.8154	5631.2050
313206.1694	224114.6501	318964.1564	226511.7436	6237.0243
307730.8148	224088.3400	313206.1694	224114.6501	5475.4178
173622.5257	121332.6252	181385.4974	121461.2879	7764.0378
356459.6281	232538.7223	360298.2861	233634.5368	3992.0051
388326.6028	242024.6510	389781.6716	243854.9227	2338.1872
387010.6703	235121.9517	388326.6028	242024.6510	7027.0148
385256.0912	232273.2184	387010.6703	235121.9517	3345.7180
396385.0187	249371.4769	404718.3754	252816.7903	9017.4840
392210.3508	244218.2784	396385.0187	249371.4769	6631.9912
389781.6716	243854.9227	392210.3508	244218.2784	2455.7097
369684.2051	231287.1186	373412.6842	228876.6522	4439.8091
363451.4693	234456.3980	369684.2051	231287.1186	6992.2333
360298.2861	233634.5368	363451.4693	234456.3980	3258.5304
379882.6923	231287.1186	385256.0912	232273.2184	5463.1317
375386.5842	228767.0862	379882.6923	231287.1186	5154.1781
373412.6842	228876.6522	375386.5842	228767.0862	1976.9385
117083.0066	140769.4608	118513.1568	137954.9255	3157.0459
113746.1396	141563.6836	117083.0066	140769.4608	3430.0832
109628.8865	142284.9804	113746.1396	141563.6836	4179.9572
123323.6633	136396.1059	126270.6410	135097.0892	3220.5778
119986.6445	136482.7069	123323.6633	136396.1059	3338.1424
118513.1568	137954.9255	119986.6445	136482.7069	2082.9291
96974.2187	142025.1765	98967.7621	142328.2804	2016.4541
94763.9861	142371.5814	96974.2187	142025.1765	2237.2136
92293.7268	141462.2696	94763.9861	142371.5814	2632.3049
105511.7853	143150.9912	109628.8865	142284.9804	4207.1959
100831.2933	144839.7128	105511.7853	143150.9912	4975.8201
98967.7621	142328.2804	100831.2933	144839.7128	3127.3057
126270.6410	135097.0892	127397.4272	135140.3893	1127.6179
143394.9442	133153.7637	145749.2891	129245.2143	4562.8607
143732.4741	152581.8121	140986.7117	160697.9647	8568.0304
144934.9791	146137.5732	143732.4741	152581.8121	6555.4736
150485.4080	124745.8989	155376.8135	124047.7287	4940.9806
146215.1369	126297.3868	150485.4080	124745.8989	4543.3831
145749.2891	129245.2143	146215.1369	126297.3868	2984.4097
130951.1353	138171.4275	134071.4649	135963.1000	3822.7172
128957.5920	137478.6196	130951.1353	138171.4275	2110.4971
127397.4272	135140.3893	128957.5920	137478.6196	2810.9492
144825.6616	139311.0486	144934.9791	146137.5732	6827.3998
143394.9442	133153.7637	144825.6616	139311.0486	6321.3218
134071.4649	135963.1000	143394.9442	133153.7637	9737.5375
458741.7540	164878.7874	463449.1554	160555.8369	6391.2071
454209.5911	172042.8940	458741.7540	164878.7874	8477.3182
450072.2034	174010.0890	454209.5911	172042.8940	4581.2480
424203.2881	253893.9591	424227.5279	257839.8028	3945.9182
431562.8149	165404.5706	431493.7807	168343.3206	2939.5608
