Kazanluk,278187.5078,170093.4865
Sliven,363479.6205,175001.9588
Yambol,383631.8414,153775.4975
Gabrovo,277291.6724,207164.2466
Varna,511129.2644,237056.6510
Veliko Turnovo,307730.8148,224088.3400
Lovech,226344.0204,234023.7333
Stara Zagora,302000.4207,147612.3165
Kurdzhali,273658.4987,47695.5130
Dupnitsa,77036.9509,141170.2746
Samokov,113746.1396,141563.6836
Smolyan,215613.5507,41991.6147
Plovdiv,222141.2213,113177.0800
Pazardzhik,181385.4974,121461.2879
Haskovo,293738.7459,90658.3639
Pernik,68681.4447,176724.0888
Kyustendil,36797.6358,144618.8388
Montana,95012.0731,275101.0118
Vratsa,120827.3135,249129.2087
Sofia,98579.1428,189279.3071
Burgas,467548.8852,151448.4529
Sandanski,82630.9439,45318.8064
Blagoevgrad,70726.5955,109239.4798
Shumen,423553.5434,248818.6426
Razgrad,390182.1680,277727.5758
Dobrich,507586.0542,285049.7339
Turgovishte,392210.3508,244218.2784
Pleven,221444.7074,277654.4998
Vidin,64520.2629,348230.8588
Silistra,449366.1037,349697.8668
Ruse,338762.7698,315175.8536
